region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
North America,Mexico,Household,Offline,L,06-03-2013,719372654,11-03-2013,5490,668.27,502.54,3668802.3,2758944.6,909857.7
Europe,Spain,Household,Online,C,06-12-2015,673788032,13-12-2015,2185,668.27,502.54,1460169.95,1098049.9,362120.05
South America,Brazil,Cosmetics,Offline,C,16-07-2017,917098683,17-07-2017,6779,437.2,263.33,2963778.8,1785114.07,1178664.73
North America,United States,Vegetables,Offline,M,07-09-2015,752389040,09-09-2015,8996,154.06,90.93,1385923.76,818006.28,567917.48
Asia,China,Snacks,Offline,C,30-10-2017,700041413,02-11-2017,2555,152.58,97.44,389841.9,248959.2,140882.7
Europe,France,Baby Food,Offline,C,09-09-2014,113790867,13-09-2014,8230,255.28,159.42,2100954.4,1312026.6,788927.8
North America,United States,Vegetables,Offline,C,23-06-2014,275276464,26-06-2014,3022,154.06,90.93,465569.32,274790.46,190778.86
Australia and Oceania,New Zealand,Baby Food,Offline,H,21-08-2016,424271919,30-08-2016,165,255.28,159.42,42121.2,26304.3,15816.9
Africa,Egypt,Cereal,Offline,L,13-12-2015,566610373,17-12-2015,6940,205.7,117.11,1427558,812743.4,614814.6
Europe,Spain,Beverages,Online,L,21-10-2012,769026200,26-10-2012,8143,47.45,31.79,386385.35,258865.97,127519.38
Asia,China,Cosmetics,Offline,C,29-08-2012,387574343,07-09-2012,4101,437.2,263.33,1792957.2,1079916.33,713040.87
South America,Brazil,Vegetables,Offline,C,14-05-2010,533002526,18-05-2010,4843,154.06,90.93,746112.58,440373.99,305738.59
South America,Brazil,Household,Online,C,14-05-2015,853394534,15-05-2015,6740,668.27,502.54,4504139.8,3387119.6,1117020.2
South America,Brazil,Personal Care,Offline,M,17-01-2012,776602509,19-01-2012,4923,81.73,56.67,402356.79,278986.41,123370.38
Asia,Japan,Cereal,Offline,H,03-12-2015,254719213,13-12-2015,3498,205.7,117.11,719538.6,409650.78,309887.82
North America,United States,Clothes,Online,L,29-02-2012,550184761,10-03-2012,962,109.28,35.84,105127.36,34478.08,70649.28
Australia and Oceania,New Zealand,Office Supplies,Offline,M,09-04-2015,843223900,12-04-2015,8684,651.21,524.96,5655107.64,4558752.64,1096355
South America,Brazil,Cereal,Offline,M,20-08-2012,789488656,28-08-2012,6445,205.7,117.11,1325736.5,754773.95,570962.55
Asia,Japan,Office Supplies,Online,C,04-07-2016,184083122,07-07-2016,9078,651.21,524.96,5911684.38,4765586.88,1146097.5
Africa,Libya,Cosmetics,Offline,C,28-09-2016,806034092,05-10-2016,4442,437.2,263.33,1942042.4,1169711.86,772330.54
Australia and Oceania,Fiji,Household,Online,M,19-10-2012,254746644,28-10-2012,5568,668.27,502.54,3720927.36,2798142.72,922784.64
Asia,India,Cosmetics,Online,C,01-12-2016,282004128,07-12-2016,9580,437.2,263.33,4188376,2522701.4,1665674.6
South America,Brazil,Cosmetics,Online,M,14-09-2012,229122284,22-09-2012,1153,437.2,263.33,504091.6,303619.49,200472.11
Asia,China,Household,Online,L,25-07-2016,759978729,02-08-2016,1182,668.27,502.54,789895.14,594002.28,195892.86
North America,Mexico,Clothes,Online,H,28-03-2017,658341744,30-03-2017,1964,109.28,35.84,214625.92,70389.76,144236.16
North America,Canada,Beverages,Online,H,17-12-2014,491853268,20-12-2014,4038,47.45,31.79,191603.1,128368.02,63235.08
Africa,Libya,Office Supplies,Online,L,28-12-2016,884184336,07-01-2017,3917,651.21,524.96,2550789.57,2056268.32,494521.25
South America,Brazil,Cereal,Offline,M,24-12-2012,802862774,29-12-2012,6256,205.7,117.11,1286859.2,732640.16,554219.04
South America,Brazil,Beverages,Offline,M,29-03-2013,591004070,06-04-2013,1400,47.45,31.79,66430,44506,21924
Australia and Oceania,Australia,Beverages,Offline,M,27-08-2017,749013920,29-08-2017,7155,47.45,31.79,339504.75,227457.45,112047.3
North America,United States,Personal Care,Online,C,24-05-2010,549288184,31-05-2010,8497,81.73,56.67,694459.81,481524.99,212934.82
North America,Mexico,Personal Care,Offline,M,17-09-2012,742641639,21-09-2012,9903,81.73,56.67,809372.19,561203.01,248169.18
Europe,Spain,Clothes,Online,C,04-08-2014,924174739,12-08-2014,5390,109.28,35.84,589019.2,193177.6,395841.6
North America,Canada,Vegetables,Offline,L,20-02-2010,739425214,27-02-2010,4170,154.06,90.93,642430.2,379178.1,263252.1
South America,Chile,Beverages,Offline,H,15-08-2014,925873875,19-08-2014,1411,47.45,31.79,66951.95,44855.69,22096.26
South America,Brazil,Office Supplies,Offline,L,18-03-2011,979922680,28-03-2011,4126,651.21,524.96,2686892.46,2165984.96,520907.5
Africa,Nigeria,Cosmetics,Online,M,24-12-2012,375730750,01-01-2013,1331,437.2,263.33,581913.2,350492.23,231420.97
North America,Canada,Office Supplies,Offline,L,15-09-2017,766878493,20-09-2017,5546,651.21,524.96,3611610.66,2911428.16,700182.5
Australia and Oceania,Australia,Personal Care,Offline,H,30-12-2014,400618260,06-01-2015,1445,81.73,56.67,118099.85,81888.15,36211.7
Australia and Oceania,Australia,Beverages,Offline,H,12-01-2012,617477781,17-01-2012,3089,47.45,31.79,146573.05,98199.31,48373.74
Europe,France,Fruits,Online,M,23-07-2015,420447305,28-07-2015,1882,9.33,6.92,17559.06,13023.44,4535.62
Australia and Oceania,Fiji,Office Supplies,Online,H,15-06-2010,232018724,19-06-2010,2439,651.21,524.96,1588301.19,1280377.44,307923.75
South America,Argentina,Beverages,Offline,M,01-12-2014,933815937,06-12-2014,9161,47.45,31.79,434689.45,291228.19,143461.26
Africa,Egypt,Household,Online,M,27-09-2016,818523186,02-10-2016,2430,668.27,502.54,1623896.1,1221172.2,402723.9
Australia and Oceania,Australia,Beverages,Online,C,09-10-2010,267080567,13-10-2010,1284,47.45,31.79,60925.8,40818.36,20107.44
Australia and Oceania,New Zealand,Household,Online,M,11-06-2015,265873104,18-06-2015,8154,668.27,502.54,5449073.58,4097711.16,1351362.42
South America,Argentina,Household,Offline,M,16-08-2011,839787247,18-08-2011,9401,668.27,502.54,6282406.27,4724378.54,1558027.73
Europe,Spain,Beverages,Online,H,20-09-2012,997310713,27-09-2012,465,47.45,31.79,22064.25,14782.35,7281.9
South America,Argentina,Household,Online,H,10-04-2017,595721956,13-04-2017,2453,668.27,502.54,1639266.31,1232730.62,406535.69
North America,Mexico,Cereal,Online,M,21-09-2010,193991706,26-09-2010,3579,205.7,117.11,736200.3,419136.69,317063.61
Asia,Japan,Vegetables,Offline,L,03-03-2013,618252167,09-03-2013,2709,154.06,90.93,417348.54,246329.37,171019.17
North America,United States,Baby Food,Online,M,24-08-2010,956507450,25-08-2010,4505,255.28,159.42,1150036.4,718187.1,431849.3
Australia and Oceania,Fiji,Cosmetics,Online,M,29-12-2013,356829516,01-01-2014,8974,437.2,263.33,3923432.8,2363123.42,1560309.38
South America,Brazil,Fruits,Online,C,27-05-2011,578332515,06-06-2011,3712,9.33,6.92,34632.96,25687.04,8945.92
Australia and Oceania,New Zealand,Snacks,Online,M,19-11-2014,122319866,29-11-2014,9270,152.58,97.44,1414416.6,903268.8,511147.8
Asia,China,Cosmetics,Offline,H,10-05-2013,331919327,15-05-2013,8340,437.2,263.33,3646248,2196172.2,1450075.8
North America,Mexico,Fruits,Offline,H,20-06-2014,806850032,24-06-2014,7639,9.33,6.92,71271.87,52861.88,18409.99
Australia and Oceania,Australia,Office Supplies,Online,H,24-03-2013,225140650,03-04-2013,2261,651.21,524.96,1472385.81,1186934.56,285451.25
South America,Brazil,Household,Offline,H,24-12-2016,638110713,30-12-2016,3899,668.27,502.54,2605584.73,1959403.46,646181.27
North America,United States,Vegetables,Online,H,03-01-2012,359237234,11-01-2012,3645,154.06,90.93,561548.7,331439.85,230108.85
South America,Argentina,Office Supplies,Online,L,11-02-2016,771920843,17-02-2016,3147,651.21,524.96,2049357.87,1652049.12,397308.75
Europe,Spain,Baby Food,Offline,H,13-09-2011,890293426,21-09-2011,3394,255.28,159.42,866420.32,541071.48,325348.84
Europe,Germany,Personal Care,Offline,M,22-04-2016,984170075,26-04-2016,1469,81.73,56.67,120061.37,83248.23,36813.14
South America,Chile,Cosmetics,Online,L,18-12-2013,380074508,26-12-2013,124,437.2,263.33,54212.8,32652.92,21559.88
Australia and Oceania,New Zealand,Clothes,Online,C,24-06-2017,766957555,03-07-2017,4066,109.28,35.84,444332.48,145725.44,298607.04
Asia,China,Snacks,Offline,H,13-08-2016,642399182,19-08-2016,1023,152.58,97.44,156089.34,99681.12,56408.22
Europe,Italy,Fruits,Offline,C,28-11-2013,490807897,05-12-2013,3541,9.33,6.92,33037.53,24503.72,8533.81
Europe,Spain,Personal Care,Offline,H,19-02-2010,113712315,28-02-2010,9356,81.73,56.67,764665.88,530204.52,234461.36
Europe,Spain,Baby Food,Online,L,25-11-2013,944917691,29-11-2013,1173,255.28,159.42,299443.44,186999.66,112443.78
Europe,Germany,Beverages,Offline,M,02-11-2014,651636850,08-11-2014,9138,47.45,31.79,433598.1,290497.02,143101.08
Africa,Kenya,Cereal,Online,M,20-03-2014,694899771,24-03-2014,4109,205.7,117.11,845221.3,481204.99,364016.31
South America,Chile,Fruits,Offline,C,03-05-2016,386117010,13-05-2016,2527,9.33,6.92,23576.91,17486.84,6090.07
Australia and Oceania,Fiji,Snacks,Offline,H,15-02-2015,358179450,21-02-2015,7431,152.58,97.44,1133821.98,724076.64,409745.34
Africa,Kenya,Personal Care,Online,M,29-10-2013,887059231,01-11-2013,6458,81.73,56.67,527812.34,365974.86,161837.48
South America,Argentina,Baby Food,Offline,H,07-09-2013,291980976,17-09-2013,4304,255.28,159.42,1098725.12,686143.68,412581.44
North America,Canada,Household,Online,M,22-01-2014,526762477,27-01-2014,4961,668.27,502.54,3315287.47,2493100.94,822186.53
Australia and Oceania,Fiji,Cereal,Online,M,12-06-2011,487581096,15-06-2011,877,205.7,117.11,180398.9,102705.47,77693.43
Europe,Italy,Clothes,Online,L,09-07-2017,956237292,14-07-2017,8495,109.28,35.84,928333.6,304460.8,623872.8
Europe,France,Household,Online,M,16-12-2017,617939014,24-12-2017,3576,668.27,502.54,2389733.52,1797083.04,592650.48
Asia,Singapore,Office Supplies,Online,M,26-06-2010,406049007,04-07-2010,9366,651.21,524.96,6099232.86,4916775.36,1182457.5
Australia and Oceania,Fiji,Personal Care,Online,M,29-08-2014,745289756,02-09-2014,4475,81.73,56.67,365741.75,253598.25,112143.5
North America,Mexico,Household,Online,M,21-09-2015,469107501,01-10-2015,730,668.27,502.54,487837.1,366854.2,120982.9
South America,Chile,Office Supplies,Online,C,23-10-2010,849665302,01-11-2010,7349,651.21,524.96,4785742.29,3857931.04,927811.25
Europe,Spain,Household,Online,L,05-11-2015,605772445,06-11-2015,2698,668.27,502.54,1802992.46,1355852.92,447139.54
South America,Brazil,Clothes,Offline,H,21-06-2017,307962953,25-06-2017,1065,109.28,35.84,116383.2,38169.6,78213.6
North America,Mexico,Cosmetics,Online,H,27-09-2015,297836783,06-10-2015,3375,437.2,263.33,1475550,888738.75,586811.25
Africa,Kenya,Snacks,Offline,H,12-05-2017,708703814,15-05-2017,5930,152.58,97.44,904799.4,577819.2,326980.2
South America,Argentina,Snacks,Online,M,07-03-2012,653702017,12-03-2012,1311,152.58,97.44,200032.38,127743.84,72288.54
Asia,Japan,Clothes,Offline,M,22-12-2010,282070904,26-12-2010,1150,109.28,35.84,125672,41216,84456
North America,Canada,Beverages,Online,M,30-01-2014,575601427,01-02-2014,8778,47.45,31.79,416516.1,279052.62,137463.48
North America,Mexico,Fruits,Online,C,16-05-2012,819010909,23-05-2012,807,9.33,6.92,7529.31,5584.44,1944.87
Europe,France,Household,Online,C,03-05-2016,733126181,10-05-2016,9748,668.27,502.54,6514295.96,4898759.92,1615536.04
Europe,Spain,Clothes,Offline,H,21-03-2014,269997579,23-03-2014,9530,109.28,35.84,1041438.4,341555.2,699883.2
Australia and Oceania,Fiji,Personal Care,Offline,H,14-03-2017,808815945,20-03-2017,3379,81.73,56.67,276165.67,191487.93,84677.74
Africa,Egypt,Household,Online,C,17-01-2012,757581517,21-01-2012,5922,668.27,502.54,3957494.94,2976041.88,981453.06
Asia,China,Snacks,Online,C,21-07-2011,781632710,23-07-2011,1854,152.58,97.44,282883.32,180653.76,102229.56
Europe,France,Clothes,Online,M,18-02-2012,878917047,25-02-2012,9624,109.28,35.84,1051710.72,344924.16,706786.56
Europe,Italy,Office Supplies,Offline,M,24-03-2014,536640261,30-03-2014,364,651.21,524.96,237040.44,191085.44,45955
Australia and Oceania,New Zealand,Personal Care,Online,M,25-07-2015,431631235,26-07-2015,7239,81.73,56.67,591643.47,410234.13,181409.34
Asia,Japan,Clothes,Offline,L,12-07-2011,517248424,18-07-2011,9943,109.28,35.84,1086571.04,356357.12,730213.92
Asia,Singapore,Personal Care,Offline,C,15-05-2015,533122172,18-05-2015,5280,81.73,56.67,431534.4,299217.6,132316.8
South America,Chile,Cosmetics,Offline,H,27-11-2010,850728477,04-12-2010,849,437.2,263.33,371182.8,223567.17,147615.63
Africa,Kenya,Baby Food,Offline,C,28-08-2011,481988109,02-09-2011,6936,255.28,159.42,1770622.08,1105737.12,664884.96
North America,United States,Household,Online,C,13-10-2014,914185977,14-10-2014,9044,668.27,502.54,6043833.88,4544971.76,1498862.12
North America,Mexico,Household,Offline,L,27-05-2012,734355581,05-06-2012,2853,668.27,502.54,1906574.31,1433746.62,472827.69
North America,United States,Cosmetics,Online,M,05-10-2016,979789723,09-10-2016,4836,437.2,263.33,2114299.2,1273463.88,840835.32
Europe,Germany,Baby Food,Online,H,30-05-2012,780209616,31-05-2012,534,255.28,159.42,136319.52,85130.28,51189.24
South America,Brazil,Snacks,Offline,H,09-08-2011,763774754,12-08-2011,5056,152.58,97.44,771444.48,492656.64,278787.84
South America,Chile,Snacks,Online,C,25-10-2015,514201024,26-10-2015,4008,152.58,97.44,611540.64,390539.52,221001.12
Africa,Libya,Cosmetics,Online,H,09-01-2017,944120513,14-01-2017,2402,437.2,263.33,1050154.4,632518.66,417635.74
North America,Mexico,Fruits,Offline,H,16-09-2011,294218980,17-09-2011,2185,9.33,6.92,20386.05,15120.2,5265.85
South America,Brazil,Vegetables,Offline,H,21-02-2017,797753370,24-02-2017,7729,154.06,90.93,1190729.74,702797.97,487931.77
Europe,Spain,Household,Offline,C,23-11-2010,444529007,30-11-2010,735,668.27,502.54,491178.45,369366.9,121811.55
Asia,Singapore,Personal Care,Online,H,13-10-2012,798835312,21-10-2012,4965,81.73,56.67,405789.45,281366.55,124422.9
Africa,Kenya,Cereal,Online,C,17-05-2013,280091574,23-05-2013,5944,205.7,117.11,1222680.8,696101.84,526578.96
Europe,Germany,Personal Care,Offline,C,25-10-2011,153643444,26-10-2011,8373,81.73,56.67,684325.29,474497.91,209827.38
Africa,Egypt,Household,Offline,C,13-06-2016,816759110,23-06-2016,4839,668.27,502.54,3233758.53,2431791.06,801967.47
Europe,Spain,Clothes,Online,C,17-11-2010,330411370,18-11-2010,6702,109.28,35.84,732394.56,240199.68,492194.88
South America,Chile,Cosmetics,Online,C,11-05-2017,257465757,12-05-2017,7285,437.2,263.33,3185002,1918359.05,1266642.95
Asia,Singapore,Vegetables,Online,C,20-12-2012,343558734,22-12-2012,9933,154.06,90.93,1530277.98,903207.69,627070.29
South America,Brazil,Vegetables,Offline,H,26-04-2016,785369485,02-05-2016,3895,154.06,90.93,600063.7,354172.35,245891.35
Australia and Oceania,New Zealand,Household,Offline,M,30-09-2011,679027307,09-10-2011,6782,668.27,502.54,4532207.14,3408226.28,1123980.86
North America,Canada,Clothes,Online,L,13-10-2010,899157792,19-10-2010,1876,109.28,35.84,205009.28,67235.84,137773.44
Africa,Egypt,Office Supplies,Online,L,03-11-2016,528793199,06-11-2016,1911,651.21,524.96,1244462.31,1003198.56,241263.75
Europe,France,Fruits,Offline,H,11-12-2017,113633788,15-12-2017,8366,9.33,6.92,78054.78,57892.72,20162.06
Australia and Oceania,Fiji,Cereal,Online,H,17-06-2011,671630865,25-06-2011,9236,205.7,117.11,1899845.2,1081627.96,818217.24
Asia,Singapore,Household,Offline,C,25-05-2014,530815499,04-06-2014,1038,668.27,502.54,693664.26,521636.52,172027.74
Africa,Kenya,Office Supplies,Online,M,17-04-2015,559253068,27-04-2015,1627,651.21,524.96,1059518.67,854109.92,205408.75
Asia,India,Cosmetics,Offline,H,27-01-2014,582659964,06-02-2014,6897,437.2,263.33,3015368.4,1816187.01,1199181.39
Asia,India,Personal Care,Offline,M,29-07-2010,900075962,30-07-2010,179,81.73,56.67,14629.67,10143.93,4485.74
Europe,Spain,Snacks,Offline,M,31-10-2017,920640550,07-11-2017,1242,152.58,97.44,189504.36,121020.48,68483.88
Asia,Japan,Vegetables,Offline,L,01-04-2013,663676430,04-04-2013,1817,154.06,90.93,279927.02,165219.81,114707.21
South America,Chile,Cereal,Offline,H,23-12-2015,816997555,31-12-2015,640,205.7,117.11,131648,74950.4,56697.6
Asia,Japan,Office Supplies,Offline,L,16-04-2014,586739296,26-04-2014,7836,651.21,524.96,5102881.56,4113586.56,989295
Europe,Spain,Household,Online,L,23-09-2014,127462043,26-09-2014,4028,668.27,502.54,2691791.56,2024231.12,667560.44
Asia,India,Snacks,Offline,C,31-08-2015,388334995,05-09-2015,2673,152.58,97.44,407846.34,260457.12,147389.22
Europe,Spain,Office Supplies,Offline,M,05-05-2012,709648961,07-05-2012,2968,651.21,524.96,1932791.28,1558081.28,374710
Asia,Japan,Vegetables,Online,M,13-11-2012,206764588,18-11-2012,7218,154.06,90.93,1112005.08,656332.74,455672.34
Asia,Singapore,Personal Care,Online,C,03-11-2012,375791396,09-11-2012,7747,81.73,56.67,633162.31,439022.49,194139.82
South America,Brazil,Household,Online,M,24-09-2016,504550043,28-09-2016,6707,668.27,502.54,4482086.89,3370535.78,1111551.11
Africa,Libya,Clothes,Online,L,29-10-2010,301346093,08-11-2010,2288,109.28,35.84,250032.64,82001.92,168030.72
